time,hour_of_day,osnr_db,ber,power_dbm,latency_ms,event,fault_cause,environmental_factor,season,city
22,11,21.478,1.2211888030144453e-06,-1.797,12.538,NORMAL,NONE,0.0,dry,Lagos
23,11,20.376,1.069873431331996e-06,-2.24,10.761,NORMAL,NONE,0.0,dry,Lagos
24,12,20.157,1.2714017124851122e-06,-1.944,14.884,NORMAL,NONE,0.0,dry,Lagos
25,12,20.218,1.288756769597502e-06,-1.679,12.573,NORMAL,NONE,0.0,dry,Lagos
26,13,20.926,1.577201728729274e-06,-1.098,12.853,NORMAL,NONE,0.0,dry,Lagos
27,13,20.792,1.4964824210214906e-06,-0.64,16.934,NORMAL,NONE,0.0,dry,Lagos
28,14,20.83,1.1524913378295887e-06,-2.191,11.407,NORMAL,NONE,0.0,dry,Lagos
29,14,20.845,1.2237896964448038e-06,-1.304,8.251,NORMAL,NONE,0.0,dry,Lagos
30,15,22.213,1.0243869597795597e-06,-2.02,15.222,NORMAL,NONE,0.0,dry,Lagos
31,15,20.175,1.1291151583243817e-06,-1.263,17.099,NORMAL,NONE,0.0,dry,Lagos
32,16,20.09,1.237872600430841e-06,-1.566,11.189,NORMAL,NONE,0.0,dry,Lagos
33,16,19.849,1.3447024345065881e-06,-2.415,8.126,NORMAL,NONE,0.0,dry,Lagos
34,17,20.993,1.112509939470767e-06,-1.036,11.379,NORMAL,NONE,0.0,dry,Lagos
35,17,21.403,1.1215024271918646e-06,-1.803,11.428,NORMAL,NONE,0.0,dry,Lagos
36,18,20.409,9.423253164313615e-07,-1.767,11.62,NORMAL,NONE,0.0,dry,Lagos
37,18,19.828,1.1804800895346112e-06,-2.035,9.773,NORMAL,NONE,0.0,dry,Lagos
38,19,19.84,1.287012324692223e-06,-1.827,21.055,NORMAL,NONE,0.0,dry,Lagos
39,19,21.02,1.3637607224592854e-06,-1.286,20.878,NORMAL,NONE,0.0,dry,Lagos
40,20,21.095,1.3137320479438674e-06,-1.595,14.418,NORMAL,NONE,0.0,dry,Lagos
41,20,20.935,1.4264261921876317e-06,-1.336,21.437,NORMAL,NONE,0.0,dry,Lagos
42,21,19.968,1.1868871116446452e-06,-1.319,25.769,NORMAL,NONE,0.0,dry,Lagos
43,21,20.686,1.2287454846636973e-06,-0.84,19.75,NORMAL,NONE,0.0,dry,Lagos
44,22,20.593,1.746611584132075e-06,-1.671,18.121,NORMAL,NONE,0.0,dry,Lagos
45,22,20.675,1.2546111482965397e-06,-2.238,18.746,NORMAL,NONE,0.0,dry,Lagos
46,23,21.197,1.0683857305854435e-06,-0.966,13.231,NORMAL,NONE,0.0,dry,Lagos
47,23,20.679,1.4204296233985578e-06,-1.666,8.539,NORMAL,NONE,0.0,dry,Lagos
48,0,21.043,1.5486080603088489e-06,-0.943,12.329,NORMAL,NONE,0.0,dry,Lagos
49,0,20.554,1.0594120045409592e-06,-1.308,11.219,NORMAL,NONE,0.0,dry,Lagos
50,1,20.731,1.1558101251854365e-06,-1.566,15.696,NORMAL,NONE,0.0,dry,Lagos
51,1,21.005,1.2409866661128614e-06,-1.326,11.652,NORMAL,NONE,0.0,dry,Lagos
52,2,19.334,1.266699345595804e-06,-0.524,10.735,NORMAL,NONE,0.0,dry,Lagos
53,2,20.244,9.734194355297505e-07,-0.462,6.855,NORMAL,NONE,0.0,dry,Lagos
54,3,20.124,1.0535099926382522e-06,-1.465,9.222,NORMAL,NONE,0.0,dry,Lagos
55,3,19.989,1.1639524582146683e-06,-1.42,8.847,NORMAL,NONE,0.0,dry,Lagos
56,4,20.28,1.126954736042395e-06,-0.962,7.183,NORMAL,NONE,0.0,dry,Lagos
57,4,21.696,1.0393751443071492e-06,-1.923,8.648,NORMAL,NONE,0.0,dry,Lagos
58,5,19.807,1.0655471198322674e-06,-1.333,10.098,NORMAL,NONE,0.0,dry,Lagos
59,5,21.275,9.31511252696042e-07,-1.513,7.947,NORMAL,NONE,0.0,dry,Lagos
60,6,19.154,1.1714191507230402e-06,-1.343,8.616,NORMAL,NONE,0.0,dry,Lagos
61,6,20.232,1.1680335011989256e-06,-1.917,11.965,NORMAL,NONE,0.0,dry,Lagos
62,7,20.63,1.3506464254306658e-06,-2.295,13.254,NORMAL,NONE,0.0,dry,Lagos
63,7,20.969,1.2466968071158898e-06,-2.536,14.71,NORMAL,NONE,0.0,dry,Lagos
64,8,21.069,1.3822430849759584e-06,-2.059,15.388,NORMAL,NONE,0.0,dry,Lagos
65,8,21.135,1.4536784879522174e-06,-1.729,11.165,NORMAL,NONE,0.0,dry,Lagos
66,9,20.221,1.3405166712522377e-06,-1.647,11.399,NORMAL,NONE,0.0,dry,Lagos
67,9,20.13,1.366431845908695e-06,-0.531,16.853,NORMAL,NONE,0.0,dry,Lagos
68,10,21.186,1.2063786417093443e-06,-0.947,10.955,NORMAL,NONE,0.0,dry,Lagos
69,10,20.347,1.2000101271709697e-06,-1.981,6.871,NORMAL,NONE,0.0,dry,Lagos
70,11,19.479,1.1134130359748584e-06,-1.326,13.57,NORMAL,NONE,0.0,dry,Lagos
71,11,19.593,1.237979311400797e-06,-1.704,12.545,NORMAL,NONE,0.0,dry,Lagos
72,12,19.764,1.2477418885999003e-06,-1.642,12.158,NORMAL,NONE,0.0,dry,Lagos
73,12,20.898,1.5237392069252548e-06,-1.407,10.771,NORMAL,NONE,0.0,dry,Lagos
74,13,20.614,1.4582427177118803e-06,-1.19,15.722,NORMAL,NONE,0.0,dry,Lagos
75,13,17.052,1.8756838873917038e-05,-6.67,14.604,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
76,14,12.158,3.219998256700404e-05,-10.968,19.28,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
77,14,8.627,4.5913282335733656e-05,-17.071,14.766,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
78,15,8.0,6.714685771853321e-05,-28.0,12.775,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
79,15,7.253,6.157649535088284e-05,-28.0,11.666,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
80,16,7.865,6.288086042034967e-05,-28.0,13.634,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
81,16,6.97,4.9532484078154846e-05,-28.0,13.25,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
82,17,7.21,6.556463088934909e-05,-28.0,14.503,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
83,17,7.195,6.27265220292862e-05,-28.0,10.957,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
84,18,6.543,5.333741589351314e-05,-28.0,11.129,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
85,18,7.89,5.717085115530032e-05,-28.0,11.042,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
86,19,7.124,7.389876387136693e-05,-28.0,21.731,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
87,19,7.51,7.237776094816497e-05,-28.0,23.995,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
88,20,22.885,4.9999999999999996e-06,-22.7,17.732,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
89,20,24.857,4.9999999999999996e-06,-17.4,17.841,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
90,21,27.032,4.9999999999999996e-06,-12.1,20.205,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
91,21,28.421,4.9999999999999996e-06,-6.8,18.414,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
92,22,30.161,4.9999999999999996e-06,-1.5,22.247,GENERATOR_FAILURE,POWER_INFRASTRUCTURE,0.0,dry,Lagos
93,22,20.436,1.0704011845058932e-06,-1.273,11.994,NORMAL,NONE,0.0,dry,Lagos
94,23,19.15,1.171577968258838e-06,-1.654,10.347,NORMAL,NONE,0.0,dry,Lagos
95,23,19.342,1.2211814905646938e-06,-1.032,10.435,NORMAL,NONE,0.0,dry,Lagos
96,0,19.442,1.235519278762452e-06,-2.416,7.359,NORMAL,NONE,0.0,dry,Lagos
97,0,19.702,1.1553702502414453e-06,-1.668,10.073,NORMAL,NONE,0.0,dry,Lagos
98,1,20.82,9.891933861025701e-07,-2.495,10.17,NORMAL,NONE,0.0,dry,Lagos
99,1,19.776,1.2393594580456932e-06,-2.248,11.598,NORMAL,NONE,0.0,dry,Lagos
100,2,20.197,1.266553823129732e-06,-0.818,9.958,NORMAL,NONE,0.0,dry,Lagos
101,2,21.539,9.143429682690571e-07,-1.052,8.057,NORMAL,NONE,0.0,dry,Lagos
102,3,20.215,1.1732934254794044e-06,-1.86,6.957,NORMAL,NONE,0.0,dry,Lagos
103,3,21.09,1.0445192759027273e-06,-2.251,8.32,NORMAL,NONE,0.0,dry,Lagos
104,4,19.753,1.0733769706504843e-06,-2.982,9.869,NORMAL,NONE,0.0,dry,Lagos
105,4,20.336,9.662869608439736e-07,-1.772,7.034,NORMAL,NONE,0.0,dry,Lagos
106,5,19.74,1.0438787333855653e-06,-0.29,7.125,NORMAL,NONE,0.0,dry,Lagos
107,5,20.229,1.2204048162274875e-06,-1.283,9.182,NORMAL,NONE,0.0,dry,Lagos
108,6,21.172,1.269918629038525e-06,-1.78,11.557,NORMAL,NONE,0.0,dry,Lagos
109,6,19.118,1.4078773926491936e-06,-1.267,13.295,NORMAL,NONE,0.0,dry,Lagos
110,7,20.848,1.4754183693450557e-06,-2.28,15.565,NORMAL,NONE,0.0,dry,Lagos
111,7,20.69,1.3779594416187041e-06,-1.649,17.424,NORMAL,NONE,0.0,dry,Lagos
112,8,20.025,1.5501993574541487e-06,-1.45,12.909,NORMAL,NONE,0.0,dry,Lagos
113,8,19.343,1.3779470969534556e-06,-1.543,15.569,NORMAL,NONE,0.0,dry,Lagos
114,9,20.558,1.429294439337212e-06,-1.105,15.052,NORMAL,NONE,0.0,dry,Lagos
115,9,20.076,1.2808526341334185e-06,-1.328,12.439,NORMAL,NONE,0.0,dry,Lagos
116,10,20.686,1.2079854979031045e-06,-1.166,8.873,NORMAL,NONE,0.0,dry,Lagos
117,10,20.517,1.1163091412039668e-06,-1.844,13.371,NORMAL,NONE,0.0,dry,Lagos
118,11,21.781,1.3187500721513825e-06,-1.051,11.298,NORMAL,NONE,0.0,dry,Lagos
119,11,20.309,1.0586035652262163e-06,-0.686,9.955,NORMAL,NONE,0.0,dry,Lagos
120,12,19.681,1.3585761431446251e-06,-1.985,13.579,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
121,12,20.523,1.2599779667543497e-06,-1.953,16.394,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
122,13,20.436,1.4555771337768821e-06,-0.851,8.554,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
123,13,21.227,1.4266094925801387e-06,-1.624,10.358,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
124,14,20.688,1.585401415863497e-06,-0.836,11.677,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
125,14,20.185,1.472077611083469e-06,-1.769,17.161,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
126,15,20.951,1.1553551693216113e-06,-0.83,12.565,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
127,15,18.709,1.359965619252216e-06,-1.501,13.535,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
128,16,19.028,1.2513591368886223e-06,-1.448,9.72,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
129,16,18.679,1.3538064189160471e-06,-0.804,9.761,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
130,17,18.988,1.6213474119932069e-06,-1.777,12.896,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
131,17,18.079,1.5405040573077234e-06,-2.076,12.117,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
132,18,19.568,1.4041283485705505e-06,-1.839,13.097,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
133,18,18.762,1.3903539160271522e-06,-1.399,11.625,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
134,19,17.643,1.7807206213741816e-06,-2.417,20.09,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
135,19,17.888,1.6248153384891177e-06,-1.325,19.706,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
136,20,18.831,1.7273558000548923e-06,-1.923,21.689,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
137,20,19.131,1.892929363903379e-06,-1.089,21.782,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
138,21,19.937,2.0383649331993644e-06,-2.87,14.016,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
139,21,20.551,1.9836616520003193e-06,-2.076,12.009,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
140,22,18.432,1.5900543107618738e-06,-2.535,22.406,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
141,22,17.188,1.9878288089803578e-06,-2.115,23.001,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
142,23,16.154,1.7366440287879093e-06,-1.587,9.959,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
143,23,17.954,1.8016668342447233e-06,-1.81,8.28,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
144,0,16.97,1.969945161798145e-06,-1.857,12.198,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
145,0,17.168,1.552411406783431e-06,-1.82,13.862,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
146,1,16.89,1.7530675889770673e-06,-1.648,15.595,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
147,1,17.147,1.9189087587352028e-06,-2.263,13.033,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
148,2,17.993,1.5811878048589744e-06,-1.415,7.88,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
149,2,17.146,1.9354024971897788e-06,-1.447,7.15,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
150,3,16.773,1.839782514171671e-06,-1.595,8.416,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
151,3,15.951,1.9154310704710877e-06,-1.519,7.981,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
152,4,15.32,1.786338084555646e-06,-1.659,6.979,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
153,4,16.151,1.959886478516351e-06,-0.799,11.268,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
154,5,16.377,2.011394928046816e-06,-1.87,10.899,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
155,5,17.714,1.945150826174814e-06,-1.99,9.99,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
156,6,16.284,2.0921281071238437e-06,-2.222,10.158,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
157,6,16.846,2.120441188713807e-06,-2.371,13.71,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
158,7,15.541,2.1180384250544014e-06,-2.487,17.263,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
159,7,14.872,2.2365262142082732e-06,-2.319,16.751,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
160,8,14.928,2.2598670257162886e-06,-1.919,18.849,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
161,8,15.0,2.3546079900946617e-06,-1.726,17.252,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
162,9,17.163,2.459976800592159e-06,-1.878,17.524,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
163,9,14.683,2.21227323717885e-06,-2.296,17.256,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
164,10,15.891,2.240998916361651e-06,-1.472,12.682,DEGRADING,FIBRE_AGING,0.0,dry,Lagos
165,10,8.0,0.00012288873328595386,-25.0,8.433,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
166,11,8.0,0.00011073847062712462,-25.0,12.167,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
167,11,8.0,0.00011146649989625808,-25.0,10.888,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
168,12,8.0,0.00012187452900853653,-25.0,10.856,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
169,12,8.0,0.0001271196267000575,-25.0,17.668,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
170,13,8.0,0.00012307198415003213,-25.0,17.777,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
171,13,8.0,0.00013257245171975304,-25.0,16.926,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
172,14,8.0,0.00013079780209016912,-25.0,14.387,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
173,14,8.0,0.00013190346642140738,-25.0,16.906,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
174,15,8.0,0.00012812469900794454,-25.0,12.024,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
175,15,8.0,0.00013996591860207652,-25.0,12.406,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
176,16,8.0,0.00012596902986680372,-25.0,9.813,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
177,16,8.0,0.00011637886624760092,-25.0,12.794,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
178,17,8.0,0.00013922552616910285,-25.0,12.121,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
179,17,8.0,0.00012805380341425905,-25.0,9.395,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
180,18,8.0,0.00013264728266605818,-25.0,11.898,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
181,18,8.0,0.00014105730410916316,-25.0,11.841,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
182,19,8.0,0.00013486373130437574,-25.0,24.952,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
183,19,8.0,0.00013858814005843578,-25.0,22.061,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
184,20,8.0,0.00013727079885274425,-25.0,19.237,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
185,20,8.0,0.00014428221871181694,-25.0,19.996,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
186,21,8.0,0.00015436538356332238,-25.0,19.341,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
187,21,8.0,0.00015617415246825194,-25.0,18.551,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
188,22,8.0,0.0001555891740911656,-25.0,15.736,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
189,22,8.0,0.00014462808563597498,-25.0,18.717,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
190,23,8.0,0.00013013937938020413,-25.0,10.508,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
191,23,8.0,0.00014552612151234228,-25.0,9.499,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
192,0,8.0,0.00014356934379817,-25.0,13.022,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
193,0,8.0,0.00015035631463029966,-25.0,12.783,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
194,1,8.0,0.0001530117217573276,-25.0,8.427,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
195,1,8.0,0.0001508294485923521,-25.0,11.755,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
196,2,8.0,0.0001493047186610296,-25.0,9.794,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
197,2,8.0,0.00014763774142022136,-25.0,9.883,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
198,3,8.0,0.00015046234941024788,-25.0,9.836,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
199,3,8.0,0.00014499476438050262,-25.0,8.454,FIBER_CUT,PHYSICAL_CUT,0.0,dry,Lagos
